qc_id,objectid,registro_n,caverna,grau_de_re,uf,municipio,localidade,latitude,longitude,altitude,gps,errogps,qtd__satel,litotipo,desenvolvi,projeção,desnivel_f,icon_url
"4002","4003",006279.00063.43.10801,Buracos do Fofoca, ,RS,Ivoti,Sem informação,-29.589676,-51.161295,"1",sem informação,"12","2", , , , ,
"4003","4004",006280.00064.43.07609,Caverna do Bairro Rincão, ,RS,Estância Velha,Sem informação,-29.643178,-51.146596,"1",Sem informação,"12","2", , , , ,
"4004","4005",006281.00003.41.28203,Caverna dos Opiliões, ,PR,União da Vitória,Colônia Rio do Meio,-26.109881,-51.1274,"1",Sem informação,"12","2", , , , ,
"4005","4006",006282.00065.43.08201,Caverna da Cascata do Rio Marim, ,RS,Flores da Cunha,Sem informação,-29.048177,-51.127893,"1",Sem informação,"12","2", , , , ,
"4006","4007",006283.00004.41.13700,Gruta do Porto de Areia, ,PR,Londrina,Sem informação,-23.740729,-51.104382,"1",Sem informação,"12","2", , , , ,
"4007","4008",006284.00005.41.26678,Gruta de Barro (Paleotoca), ,PR,Tamarana,Área urbana de Tamarana,-23.722744,-51.091241,"1",sem informação,"12","2", , , , ,
"4008","4009",006285.00066.43.12476,Caverna dos Índios, ,RS,Morro Reuter,Sem informação,-29.544076,-51.082195,"1",sem informação,"12","2", , , , ,
"4009","4010",006286.00067.43.23002,Caverna da Cuca (Paleotoca), ,RS,Viamão,Fazenda refúgio,-30.124879,-51.060297,"1",Sem informação,"12","2", , , , ,
"4010","4011",006287.00012.52.13756,Gruta Cachoeirinha, ,GO,Montividiu,rio Ponte de Pedra / Rio Verdao,-17.121247,-51.05655,"1",Sem informação,"12","2", , , , ,
"4011","4012",006288.00068.43.05108,Grutao Caverna dos Índios, ,RS,Caxias do Sul,Sem informação,-29.208478,-51.054893,"1",Sem informação,"12","2", , , , ,
"4012","4013",006289.00069.43.23002,Abrigo do Tigre, ,RS,Viamão,Parque Ecológico Itapoa,-30.387223,-51.046112,"1",sem informação,"12","2", , , , ,
"4013","4014",006290.00070.43.23002,Caverna do Doze (Caverna do Tigre), ,RS,Viamão,Parque Ecológico Itapoa,-30.387697,-51.045226,"1",sem informação,"13","2", , , , ,
"4014","4015",006291.00071.43.23002,Caverna do Jairo, ,RS,Viamão,Parque Ecológico Itapoa,-30.374643,-51.034666,"1",sem informação,"12","2", , , , ,
"4015","4016",006292.00013.52.16403,Gruta Ponte de Pedra I, ,GO,Paraúna,Rio Ponte de Pedra / Rio Verdão,-17.172841,-50.836645,"1",Sem informação,"12","2", , , , ,
"4016","4017",006293.00014.52.18805,Gruta Ponte de Pedra II, ,GO,Rio Verde,Rio Ponte de Pedra / Rio Verdão,-17.177528,-50.836133,"1",Sem informação,"12","2", , , , ,
"4017","4018",006295.00073.43.16956,Caverna dos Bugres, ,RS,Santa Maria do Herval,Sem informação,-29.491378,-50.992794,"1",Sem informação,"12","2", , , , ,
"4018","4019",006296.00006.41.06803,Gruta Marumbi do Elias, ,PR,Cruz Machado,rio Azul,-25.7275,-50.9717,"1",Sem informação,"12","2", , , , ,
"4019","4020",006297.00074.43.16956,Gruta da Cascata do Panelão, ,RS,Santa Maria do Herval,Sem informação,-29.455378,-50.971693,"1",Sem informação,"12","2", , , , ,
"4020","4021",006298.00075.43.19901,Gruta do Ferrabraz, ,RS,Sapiranga,Sem informação,-29.603977,-50.964194,"1",sem informação,"12","2", , , , ,
"4021","4022",006299.00076.43.19901,Caverna do Arroio da Bica (Paleotoca), ,RS,Sapiranga,Oeste do bairro Arroio da Bica,-29.583177,-50.948994,"1",sem informação,"12","2", , , , ,
"4022","4023",006300.00077.43.09209,Furnas 4 da Cascatinha de Morungava, ,RS,Gravataí,Sem informação,-29.820777,-50.924395,"1",sem informação,"12","2", , , , ,
"4023","4024",006301.00078.43.09209,Furna do Sítio El Paraizo, ,RS,Gravataí,Sem informação,-29.842378,-50.895795,"1",sem informação,"12","2", , , , ,
"4024","4025",006302.00007.41.18709,Gruta Lindolfo (Paleotoca), ,PR,Paulo Frontin,Sem informação,-26.047472,-50.877528,"850",Sem informação,"12","2", , , , ,
"4025","4026",006303.00079.43.10108,Caverna dos Maragatos, ,RS,Igrejinha,Sem informação,-29.546577,-50.858793,"1",sem informação,"12","2", , , , ,
"4026","4027",006304.00080.43.09050,Furna da Cachoeira da Serraria, ,RS,Glorinha,Sem informação,-29.797778,-50.809994,"1",Sem informação,"13","2", , , , ,
"4027","4028",006305.00015.52.04201,Gruta Rio do Peixe, ,GO,Cachoeira de Goiás,Ivolândia,-16.745747,-50.786248,"1",Sem informação,"12","2", , , , ,
"4028","4029",006306.00008.41.24707,Gruta Santa Júlia, ,PR,São Jerônimo da Serra,Capim - Fazenda Santa Júlia,-23.782367,-50.766568,"1",Sem informação,"12","2", , , , ,
"4029","4030",006307.00009.41.24707,Gruta de Barão de Antonina, ,PR,São Jerônimo da Serra,Pt. Indígena Barao de Antonina,-23.734067,-50.764068,"1",Sem informação,"12","2", , , , ,
"4030","4031",006308.00081.43.18200,Toca da Usina Hidrelétrica, ,RS,São Francisco de Paula,Sem informação,-29.292679,-50.759191,"1",Sem informação,"12","2", , , , ,
"4031","4032",006309.00082.43.18200,Toca da Usina da Toca, ,RS,São Francisco de Paula,Sem informação,-29.288177,-50.740991,"1",sem informação,"12","2", , , , ,
"4032","4033",006310.00083.43.04408,Caverna da Toca das Andorinhas, ,RS,Canela,Sem informação,-29.376279,-50.738292,"1",Sem informação,"12","2", , , , ,
"4033","4034",006311.00010.41.24707,Portal Arco Verde, ,PR,São Jerônimo da Serra,Fazenda Arco Verde,-23.786867,-50.737368,"1",Sem informação,"12","2", , , , ,
"4034","4035",006312.00011.41.24707,Gruta de Arco Verde, ,PR,São Jerônimo da Serra,Fazenda Arco Verde,-23.786267,-50.736868,"1",Sem informação,"12","2", , , , ,
"4035","4036",006313.00084.43.09050,Gruta do Maracana, ,RS,Glorinha,Sem informação,-29.780278,-50.728393,"1",sem informação,"12","2", , , , ,
"4036","4037",006314.00085.43.02303,Furna da Usina, ,RS,Bom Jesus,Capao Alto,-28.333718,-50.673537,"1",sem informação,"12","2", , , , ,
"4037","4038",006315.00004.35.41703,Gruta Toca da Onça, ,SP,Quatá,Bairro Trinta Alqueires,-22.250738,-50.616018,"1",Sem Informação,"12","2", , , , ,
"4038","4039",006316.00001.42.09300,Furna Santa Rosa, ,SC,Lages,Coxilha Rica,-28.378271,-50.614149,"1",Sem Informação,"12","2", , , , ,
"4039","4040",006317.00002.42.09300,Furna Fazenda Santa Rosa I, ,SC,Lages,Estrada para Coxilha Rica até fazenda Santa Rosa,-28.378272,-50.614149,"1",Sem Informação,"12","2", , , , ,
"4040","4041",006318.00003.42.09300,Furna Fazenda Santa Rosa II, ,SC,Lages,Coxilha Rica,-28.378273,-50.614149,"1",Sem Informação,"12","2", , , , ,
"4041","4042",006319.00004.42.09300,Furna Fazenda Santa Rosa III, ,SC,Lages,Coxilha Rica,-28.378274,-50.614149,"1",Sem Informação,"12","2", , , , ,
"4042","4043",006320.00005.42.09300,Furna Fazenda Santa Rosa IV, ,SC,Lages,Coxilha Rica,-28.378275,-50.614149,"1",Sem Informação,"12","2", , , , ,
"4043","4044",006321.00006.42.09300,Furna Fazenda Santa Rosa V, ,SC,Lages,Coxilha Rica,-28.378271,-50.614147,"1",Sem Informação,"12","2", , , , ,
"4044","4045",006322.00007.42.09300,Furna Fazenda Santa Rosa VI, ,SC,Lages,Coxilha Rica,-28.37827,-50.614149,"1",Sem Informação,"12","2", , , , ,
"4045","4046",006323.00008.42.09300,Furna Fazenda Santa Rosa VII, ,SC,Lages,Coxilha Rica,-28.378271,-50.61415,"1",Sem Informação,"12","2", , , , ,
"4046","4047",006324.00009.42.09300,Furna Fazenda Santa Rosa VIII, ,SC,Lages,Coxilha Rica,-28.378271,-50.614148,"1",Sem Informação,"12","2", , , , ,
"4047","4048",006325.00086.43.02303,Toca da Coruja, ,RS,Bom Jesus,Capao Alto,-28.426324,-50.611295,"1",sem informação,"12","2", , , , ,
"4048","4049",006326.00087.43.02303,Toca da Aegla II, ,RS,Bom Jesus,Capao Alto,-28.425239,-50.611204,"1",sem informação,"12","2", , , , ,
"4050","4051",006328.00089.43.02303,Toca da Aegla I, ,RS,Bom Jesus,Capao Alto,-28.425186,-50.611075,"1",sem informação,"12","2", , , , ,
"4051","4052",006329.00090.43.18200,Gruta do Lago São Bernardo, ,RS,São Francisco de Paula,Sem informação,-29.453278,-50.575191,"1",sem infromação,"12","2", , , , ,
"4052","4053",006330.00091.43.16006,Gruta de São Cristóvão, ,RS,Rolante,Sem informação,-29.574378,-50.547991,"1",sem informação,"12","2", , , , ,
"4053","4054",006331.00016.52.07535,Furna do Tatu, ,GO,Faina,Fazenda Córrego do Ouro,-15.38554,-50.531017,"1",sem informação,"12","2", , , , ,
"4054","4055",006332.00012.41.27502,Gruta das Vespas, ,PR,Tibagi,Sem informação,-24.515209,-50.522136,"1",sem informação,"12","2", , , , ,
"4055","4056",006333.00013.41.27502,Casa de Pedra da Granja, ,PR,Tibagi,Sem informação,-24.560395,-50.505898,"1",sem informação,"12","2", , , , ,
"4056","4057",006334.00017.52.18508,Caverna da Fortaleza, ,GO,Quirinópolis,Fazenda Fortaleza,-18.419894,-50.489339,"1",sem informação,"12","2", , , , ,
"4057","4058",006335.00092.43.16006,Gruta das Andorinhas, ,RS,Rolante,Sem informação,-29.56458,-50.483791,"1",Sem informação,"12","2", , , , ,
"4058","4059",006336.00010.42.09300,Furna Perauzinho da Santa (Perauzinho do Cabrito), ,SC,Lages,Coxilha Rica,-28.403478,-50.473585,"1",Sem Informação,"12","2", , , , ,
"4059","4060",006337.00014.41.27502,Gruta dos Morcegos, ,PR,Tibagi,Sem informação,-24.564931,-50.472029,"1",sem informação,"12","2", , , , ,
"4060","4061",006338.00015.41.27502,Casa de Pedra do Jacaré, ,PR,Tibagi,Sem informação,-24.580001,-50.471017,"1",sem informação,"12","2", , , , ,
"4061","4062",006339.00016.41.27502,Casa de Pedra do Zezito, ,PR,Tibagi,Sem informação,-24.536867,-50.470912,"1",sem informação,"12","2", , , , ,
"4062","4063",006340.00057.15.02152,S11A_0032, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.293403,-50.466829,"1",Sem informação,"12","2", , , , ,
"4063","4064",006341.00058.15.02152,S11A_0031, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.293439,-50.46663,"1",Sem informação,"12","2", , , , ,
"4064","4065",006342.00059.15.02152,S11A_0037, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.293762,-50.464478,"1",Sem informação,"12","2", , , , ,
"4065","4066",006343.00017.41.27502,Abrigo Tangará, ,PR,Tibagi,Sem informação,-24.590589,-50.464237,"1",sem informação,"12","2", , , , ,
"4066","4067",006344.00060.15.02152,S11A_0036, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.317217,-50.455151,"1",Sem informação,"12","2", , , , ,
"4067","4068",006345.00061.15.02152,S11A_0035, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.31709,-50.455043,"1",Sem informação,"12","2", , , , ,
"4068","4069",006346.00062.15.02152,S11A_0034, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.317235,-50.454862,"1",Sem informação,"12","2", , , , ,
"4069","4070",006347.00063.15.02152,S11A_0033, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.316964,-50.454826,"1",Sem informação,"12","2", , , , ,
"4070","4071",006348.00064.15.02152,S11A_0016, ,PA,Canaã dos Carajás,Serra Sul,-6.356944,-50.452759,"1",Sem informação,"12","2", , ,"8", ,
"4071","4072",006349.00065.15.02152,S11A_0011, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.33185,-50.451809,"1",Sem informação,"12","2", , ,"7", ,
"4072","4073",006350.00066.15.02152,S11A_0012, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.331777,-50.451655,"1",Sem informação,"12","2", , , , ,
"4073","4074",006351.00067.15.02152,S11A_0013, ,PA,Canaã dos Carajás,Serra Sul,-6.331849,-50.451438,"1",Sem informação,"12","2", , ,"13", ,
"4074","4075",006352.00068.15.02152,S11A_0004, ,PA,Canaã dos Carajás,Serra Sul,-6.352275,-50.451371,"1",Sem informação,"12","2", , ,"78", ,
"4075","4076",006353.00069.15.02152,S11A_0005, ,PA,Canaã dos Carajás,Serra Sul,-6.352401,-50.45129,"1",Sem informação,"12","2", , ,"83", ,
"4076","4077",006354.00070.15.02152,S11A_0003, ,PA,Canaã dos Carajás,Serra Sul,-6.350303,-50.451066,"1",Sem informação,"12","2", , ,"42", ,
"4077","4078",006355.00071.15.02152,S11A_0002, ,PA,Canaã dos Carajás,Serra Sul,-6.34985,-50.450958,"1",Sem informação,"12","2", , ,"46", ,
"4078","4079",006356.00072.15.02152,S11A_0030, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.321537,-50.450852,"1",Sem informação,"12","2", , , , ,
"4079","4080",006357.00073.15.02152,S11A_0029, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.321247,-50.450844,"1",Sem informação,"12","2", , , , ,
"4080","4081",006358.00074.15.02152,S11A_0038, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.352853,-50.450783,"1",Sem informação,"12","2", , , , ,
"4081","4082",006359.00075.15.02152,S11A_0006, ,PA,Canaã dos Carajás,Serra Sul,-6.353106,-50.450765,"1",Sem informação,"12","2", , ,"17", ,
"4082","4083",006360.00076.15.02152,S11A_0014, ,PA,Canaã dos Carajás,Serra Sul,-6.344277,-50.450232,"1",Sem informação,"12","2", , ,"5", ,
"4083","4084",006361.00077.15.02152,S11A_0015, ,PA,Canaã dos Carajás,Serra Sul,-6.344621,-50.450123,"1",Sem informação,"12","2", , ,"46", ,
"4084","4085",006362.00078.15.02152,S11A_0026, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.307731,-50.449041,"1",Sem informação,"12","2", , , , ,
"4085","4086",006363.00079.15.02152,S11A_0028, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.308978,-50.448388,"1",Sem informação,"12","2", , , , ,
"4086","4087",006364.00080.15.02152,S11A_0027, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.308363,-50.448064,"1",Sem informação,"12","2", , , , ,
"4087","4088",006365.00081.15.02152,S11A_0001, ,PA,Canaã dos Carajás,Serra Sul,-6.34771,-50.446304,"1",Sem informação,"12","2", , ,"5", ,
"4088","4089",006366.00082.15.02152,S11A_0017, ,PA,Canaã dos Carajás,Serra Sul,-6.32723,-50.445485,"1",Sem informação,"12","2", , ,"41", ,
"4089","4090",006367.00083.15.02152,S11A_0007, ,PA,Canaã dos Carajás,Serra Sul,-6.35205,-50.443723,"1",Sem informação,"12","2", , ,"69", ,
"4090","4091",006368.00084.15.02152,S11A_0025, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.316607,-50.44292,"1",Sem informação,"12","2", , , , ,
"4091","4092",006369.00085.15.02152,S11A_0018, ,PA,Canaã dos Carajás,Serra Sul,-6.328944,-50.441035,"1",Sem informação,"12","2", , ,"23", ,
"4092","4093",006370.00086.15.02152,S11A_0019, ,PA,Canaã dos Carajás,Serra Sul,-6.327894,-50.441027,"1",Sem informação,"12","2", , ,"23", ,
"4093","4094",006371.00087.15.02152,S11A_0024, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.315591,-50.440462,"1",Sem informação,"12","2", , , , ,
"4094","4095",006372.00088.15.02152,S11A_0020, ,PA,Canaã dos Carajás,Serra Sul,-6.318196,-50.440242,"1",Sem informação,"12","2", , ,"198", ,
"4095","4096",006373.00089.15.02152,S11A_0023, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.316188,-50.440054,"1",Sem informação,"12","2", , , , ,
"4096","4097",006374.00090.15.02152,S11A_0021, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.318033,-50.439736,"1",Sem informação,"12","2", , , , ,
"4097","4098",006375.00091.15.02152,S11A_0010, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.363152,-50.438756,"1",Sem informação,"12","2", , , , ,
"4098","4099",006376.00092.15.02152,S11A_0009, ,PA,Canaã dos Carajás,Serra Sul,-6.363062,-50.438611,"1",Sem informação,"12","2", , ,"5", ,
"4099","4100",006377.00093.15.02152,S11A_0022, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.319116,-50.437049,"1",Sem informação,"12","2", , , , ,
"4100","4101",006378.00018.52.08905,Gruta da Onça, ,GO,Goiás,Povoado de Perdizes / Fazenda do Índio,-16.083609,-50.436567,"1",sem informação,"12","2", , , , ,
"4101","4102",006379.00094.15.02152,S11A_0008, ,PA,Canaã dos Carajás,Serra Sul,-6.350154,-50.430569,"1",Sem informação,"12","2", , ,"36", ,
"4102","4103",006380.00018.41.07751,Gruta Cambuí, ,PR,Figueira,Mineraçao Cambuí,-23.861304,-50.423527,"1",sem informação,"12","2", , , , ,
"4103","4104",006381.00095.15.02152,S11B_0044, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.348008,-50.420563,"1",Sem informação,"12","2", , , , ,
"4104","4105",006382.00096.15.02152,S11B_0047, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.349507,-50.418599,"1",Sem informação,"12","2", , , , ,
"4105","4106",006383.00097.15.02152,S11B_0045, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.349363,-50.418599,"1",Sem informação,"12","2", , , , ,
"4106","4107",006384.00098.15.02152,S11B_0046, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.349435,-50.418581,"1",Sem informação,"12","2", , , , ,
"4107","4108",006385.00099.15.02152,S11B_0048, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.350716,-50.415885,"1",Sem informação,"12","2", , , , ,
"4108","4109",006386.00100.15.02152,S11B_0050, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.350987,-50.41546,"1",Sem informação,"12","2", , , , ,
"4109","4110",006387.00101.15.02152,S11B_0049, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.350969,-50.415442,"1",Sem informação,"12","2", , , , ,
"4110","4111",006388.00102.15.02152,S11B_0052, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.353952,-50.413314,"1",Sem informação,"12","2", , , , ,
"4111","4112",006389.00103.15.02152,S11B_0051, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.353843,-50.413305,"1",Sem informação,"12","2", , , , ,
"4112","4113",006390.00104.15.02152,S11B_0053, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.354458,-50.41306,"1",Sem informação,"12","2", , , , ,
"4113","4114",006391.00105.15.02152,S11B_0054, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.354782,-50.411622,"1",Sem informação,"12","2", , , , ,
"4114","4115",006392.00093.43.02303,Furna Cipó, ,RS,Bom Jesus,Bairro Casarao / Perau de arroio local Estrada de Bom Jesus ao bairro Casa Branca,-28.550997,-50.41146,"1",Sem Informação,"12","2", , , , ,
"4115","4116",006393.00094.43.02303,Furna Zorrilho, ,RS,Bom Jesus,Bairro Casarao,-28.551402,-50.411439,"1",sem informação,"12","2", , , , ,
"4116","4117",006394.00095.43.02303,Gruta da Furna, ,RS,Bom Jesus,Perau de arroio local Estrada de Bom Jesus ao bairro Casa Branca,-28.551079,-50.411486,"1",sem informação,"12","2", , , , ,
"4117","4118",006395.00096.43.02303,Furna dos Ossos, ,RS,Bom Jesus,Perau de arroio local Estrada de Bom Jesus ao bairro Casa Branca,-28.550997,-50.411456,"1",Sem Informação,"12","2", , , , ,
"4118","4119",006396.00097.43.02303,Furna Xaxim, ,RS,Bom Jesus,Bairro Casarao,-28.551879,-50.411386,"1",sem informação,"12","2", , , , ,
"4119","4120",006397.00106.15.02152,S11B_0055, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.355668,-50.410979,"1",Sem informação,"12","2", , , , ,
"4120","4121",006398.00107.15.02152,S11B_0032, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.349363,-50.418561,"1",Sem informação,"12","2", , , , ,
"4121","4122",006399.00108.15.02152,S11B_0043, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.343636,-50.410224,"1",Sem informação,"12","2", , , , ,
"4122","4123",006400.00109.15.02152,S11B_0034, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.349553,-50.418751,"1",Sem informação,"12","2", , , , ,
"4123","4124",006401.00110.15.02152,S11B_0033, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.349435,-50.418543,"1",Sem informação,"12","2", , , , ,
"4124","4125",006402.00111.15.02152,S11B_0035, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.35059,-50.415829,"1",Sem informação,"12","2", , , , ,
"4125","4126",006403.00112.15.02152,S11B_0036, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.350888,-50.41535,"1",Sem informação,"12","2", , , , ,
"4126","4127",006404.00113.15.02152,S11B_0037, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.35106,-50.415386,"1",Sem informação,"12","2", , , , ,
"4127","4128",006405.00114.15.02152,S11B_0038, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.353871,-50.413402,"1",Sem informação,"12","2", , , , ,
"4128","4129",006406.00115.15.02152,S11B_0039, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.353961,-50.413402,"1",Sem informação,"12","2", , , , ,
"4129","4130",006407.00116.15.02152,S11B_0040, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.354458,-50.413022,"1",Sem informação,"12","2", , , , ,
"4130","4131",006408.00117.15.02152,S11B_0030, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.343637,-50.410186,"1",Sem informação,"12","2", , , , ,
"4131","4132",006409.00118.15.02152,S11B_0029, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.348607,-50.406874,"1",Sem informação,"12","2", , , , ,
"4132","4133",006410.00119.15.02152,S11B_0031, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.348008,-50.420525,"1",Sem informação,"12","2", , , , ,
"4133","4134",006411.00120.15.02152,S11B_0042, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.355668,-50.410941,"1",Sem informação,"12","2", , , , ,
"4134","4135",006412.00121.15.02152,S11B_0028, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.348192,-50.406782,"1",Sem informação,"12","2", , , , ,
"4135","4136",006413.00122.15.02152,S11B_0027, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.350213,-50.403219,"1",Sem informação,"12","2", , , , ,
"4136","4137",006414.00123.15.02152,S11B_0026, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.346187,-50.409523,"1",Sem informação,"12","2", , , , ,
"4137","4138",006415.00124.15.02152,S11B_0025, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.345807,-50.409705,"1",Sem informação,"12","2", , , , ,
"4138","4139",006416.00125.15.02152,S11B_0020, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.345735,-50.410112,"1",Sem informação,"12","2", , , , ,
"4139","4140",006417.00126.15.02152,S11B_0019, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.345428,-50.410202,"1",Sem informação,"12","2", , , , ,
"4140","4141",006418.00011.42.16503,Grota Perau do Caixão, ,SC,São Joaquim,São João do Pelotas,-28.4001,-50.3944,"1",Sem Informação,"12","2", , , , ,
"4141","4142",006419.00127.15.02152,S11B_0018, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.348753,-50.406835,"1",Sem informação,"12","2", , , , ,
"4142","4143",006420.00128.15.02152,S11C_0037, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.391214,-50.392619,"1",Sem informação,"12","2", , , , ,
"4143","4144",006421.00129.15.02152,S11B_0004, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.364751,-50.396003,"1",Sem informação,"12","2", , , , ,
"4144","4145",006422.00130.15.02152,S11B_0017, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.34859,-50.406926,"1",Sem informação,"12","2", , , , ,
"4145","4146",006423.00131.15.02152,S11C_0036, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.392444,-50.391931,"1",Sem informação,"12","2", , , , ,
"4146","4147",006424.00132.15.02152,S11B_0005, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.367839,-50.391797,"1",Sem informação,"12","2", , , , ,
"4147","4148",006425.00133.15.02152,S11C_0034, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.398015,-50.391436,"1",Sem informação,"12","2", , , , ,
"4148","4149",006426.00134.15.02152,S11C_0035, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.395274,-50.38157,"1",Sem informação,"12","2", , , , ,
"4149","4150",006427.00135.15.02152,S11C_0032, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.398811,-50.391082,"1",Sem informação,"12","2", , , , ,
"4150","4151",006428.00136.15.02152,S11C_0030, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.399824,-50.391036,"1",Sem informação,"12","2", , , , ,
"4151","4152",006429.00137.15.02152,S11C_0031, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.399896,-50.391027,"1",Sem informação,"12","2", , , , ,
"4152","4153",006430.00138.15.02152,S11B_0024, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.345771,-50.409822,"1",Sem informação,"12","2", , , , ,
"4153","4154",006431.00139.15.02152,S11B_0023, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.345753,-50.410066,"1",Sem informação,"12","2", , , , ,
"4154","4155",006432.00140.15.02152,S11B_0021, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.345699,-50.410148,"1",Sem informação,"12","2", , , , ,
"4155","4156",006433.00141.15.02152,S11B_0022, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.345807,-50.410102,"1",Sem informação,"12","2", , , , ,
"4156","4157",006434.00142.15.02152,S11B_0013, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.354683,-50.411711,"1",Sem informação,"12","2", , , , ,
"4157","4158",006435.00143.15.02152,S11C_0029, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.397615,-50.389845,"1",Sem informação,"12","2", , , , ,
"4158","4159",006436.00144.15.02152,S11C_0027, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.397977,-50.389528,"1",Sem informação,"12","2", , , , ,
"4159","4160",006437.00145.15.02152,S11C_0028, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.397904,-50.389519,"1",Sem informação,"12","2", , , , ,
"4160","4161",006438.00146.15.02152,S11C_0026, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.398176,-50.389428,"1",Sem informação,"12","2", , , , ,
"4161","4162",006439.00147.15.02152,S11C_0025, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.398357,-50.389281,"1",Sem informação,"12","2", , , , ,
"4162","4163",006440.00148.15.02152,S11C_0024, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.398619,-50.389064,"1",Sem informação,"12","2", , , , ,
"4163","4164",006441.00149.15.02152,S11B_0007, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.366984,-50.387883,"1",Sem informação,"12","2", , , , ,
"4164","4165",006442.00150.15.02152,S11C_0013, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.404415,-50.387748,"1",Sem informação,"12","2", , , , ,
"4165","4166",006443.00151.15.02152,S11B_0006, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.368558,-50.3877,"1",Sem informação,"12","2", , , , ,
"4166","4167",006444.00152.15.02152,S11B_0015, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.348273,-50.40689,"1",Sem informação,"12","2", , , , ,
"4167","4168",006445.00153.15.02152,S11C_0023, ,PA,Canaã dos Carajás,Serra dos Carajás,-6.404559,-50.38716,"1",Sem informação,"12","2", , , , ,
